e4_condition_key,batch_id,condition_id,task_id,course_name,topic,profile_id,agent_id,repeat,provider,model,initial_status,repair_affected,final_status
doc_code_retest|DSA-01|P3|doc|r1,doc_code_retest,DSA-01|P3|doc|r1,DSA-01,数据结构与算法,Dijkstra 最短路径,P3,doc,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|DSA-02|P1|code|r1,doc_code_retest,DSA-02|P1|code|r1,DSA-02,数据结构与算法,红黑树,P1,code,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|DSA-02|P1|doc|r1,doc_code_retest,DSA-02|P1|doc|r1,DSA-02,数据结构与算法,红黑树,P1,doc,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|DSA-02|P2|code|r1,doc_code_retest,DSA-02|P2|code|r1,DSA-02,数据结构与算法,红黑树,P2,code,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|DSA-02|P2|doc|r1,doc_code_retest,DSA-02|P2|doc|r1,DSA-02,数据结构与算法,红黑树,P2,doc,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|DSA-02|P3|code|r1,doc_code_retest,DSA-02|P3|code|r1,DSA-02,数据结构与算法,红黑树,P3,code,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|DSA-02|P3|doc|r1,doc_code_retest,DSA-02|P3|doc|r1,DSA-02,数据结构与算法,红黑树,P3,doc,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|ML-01|P1|code|r1,doc_code_retest,ML-01|P1|code|r1,ML-01,机器学习,梯度下降,P1,code,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|ML-01|P1|doc|r1,doc_code_retest,ML-01|P1|doc|r1,ML-01,机器学习,梯度下降,P1,doc,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|ML-01|P2|code|r1,doc_code_retest,ML-01|P2|code|r1,ML-01,机器学习,梯度下降,P2,code,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|ML-01|P2|doc|r1,doc_code_retest,ML-01|P2|doc|r1,ML-01,机器学习,梯度下降,P2,doc,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|ML-01|P3|code|r1,doc_code_retest,ML-01|P3|code|r1,ML-01,机器学习,梯度下降,P3,code,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|ML-01|P3|doc|r1,doc_code_retest,ML-01|P3|doc|r1,ML-01,机器学习,梯度下降,P3,doc,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|ML-02|P1|code|r1,doc_code_retest,ML-02|P1|code|r1,ML-02,机器学习,决策树剪枝,P1,code,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|ML-02|P1|doc|r1,doc_code_retest,ML-02|P1|doc|r1,ML-02,机器学习,决策树剪枝,P1,doc,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|ML-02|P2|code|r1,doc_code_retest,ML-02|P2|code|r1,ML-02,机器学习,决策树剪枝,P2,code,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|ML-02|P2|doc|r1,doc_code_retest,ML-02|P2|doc|r1,ML-02,机器学习,决策树剪枝,P2,doc,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|ML-02|P3|code|r1,doc_code_retest,ML-02|P3|code|r1,ML-02,机器学习,决策树剪枝,P3,code,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|ML-02|P3|doc|r1,doc_code_retest,ML-02|P3|doc|r1,ML-02,机器学习,决策树剪枝,P3,doc,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|NET-01|P1|code|r1,doc_code_retest,NET-01|P1|code|r1,NET-01,计算机网络,TCP 三次握手,P1,code,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|NET-01|P1|doc|r1,doc_code_retest,NET-01|P1|doc|r1,NET-01,计算机网络,TCP 三次握手,P1,doc,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|NET-01|P2|code|r1,doc_code_retest,NET-01|P2|code|r1,NET-01,计算机网络,TCP 三次握手,P2,code,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|NET-01|P2|doc|r1,doc_code_retest,NET-01|P2|doc|r1,NET-01,计算机网络,TCP 三次握手,P2,doc,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|NET-01|P3|code|r1,doc_code_retest,NET-01|P3|code|r1,NET-01,计算机网络,TCP 三次握手,P3,code,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|NET-01|P3|doc|r1,doc_code_retest,NET-01|P3|doc|r1,NET-01,计算机网络,TCP 三次握手,P3,doc,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|NET-02|P1|code|r1,doc_code_retest,NET-02|P1|code|r1,NET-02,计算机网络,拥塞控制,P1,code,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|NET-02|P1|doc|r1,doc_code_retest,NET-02|P1|doc|r1,NET-02,计算机网络,拥塞控制,P1,doc,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|NET-02|P2|code|r1,doc_code_retest,NET-02|P2|code|r1,NET-02,计算机网络,拥塞控制,P2,code,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|NET-02|P2|doc|r1,doc_code_retest,NET-02|P2|doc|r1,NET-02,计算机网络,拥塞控制,P2,doc,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|NET-02|P3|code|r1,doc_code_retest,NET-02|P3|code|r1,NET-02,计算机网络,拥塞控制,P3,code,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|NET-02|P3|doc|r1,doc_code_retest,NET-02|P3|doc|r1,NET-02,计算机网络,拥塞控制,P3,doc,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|OS-01|P1|code|r1,doc_code_retest,OS-01|P1|code|r1,OS-01,操作系统,进程调度,P1,code,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|OS-01|P1|doc|r1,doc_code_retest,OS-01|P1|doc|r1,OS-01,操作系统,进程调度,P1,doc,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|OS-01|P2|code|r1,doc_code_retest,OS-01|P2|code|r1,OS-01,操作系统,进程调度,P2,code,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|OS-01|P2|doc|r1,doc_code_retest,OS-01|P2|doc|r1,OS-01,操作系统,进程调度,P2,doc,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|OS-01|P3|code|r1,doc_code_retest,OS-01|P3|code|r1,OS-01,操作系统,进程调度,P3,code,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|OS-01|P3|doc|r1,doc_code_retest,OS-01|P3|doc|r1,OS-01,操作系统,进程调度,P3,doc,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|OS-02|P1|code|r1,doc_code_retest,OS-02|P1|code|r1,OS-02,操作系统,虚拟内存与页表,P1,code,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|OS-02|P1|doc|r1,doc_code_retest,OS-02|P1|doc|r1,OS-02,操作系统,虚拟内存与页表,P1,doc,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|OS-02|P2|code|r1,doc_code_retest,OS-02|P2|code|r1,OS-02,操作系统,虚拟内存与页表,P2,code,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|OS-02|P2|doc|r1,doc_code_retest,OS-02|P2|doc|r1,OS-02,操作系统,虚拟内存与页表,P2,doc,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|OS-02|P3|code|r1,doc_code_retest,OS-02|P3|code|r1,OS-02,操作系统,虚拟内存与页表,P3,code,1,deepseek,deepseek-v4-pro,ok,false,ok
doc_code_retest|OS-02|P3|doc|r1,doc_code_retest,OS-02|P3|doc|r1,OS-02,操作系统,虚拟内存与页表,P3,doc,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-01|P1|code|r1,formal_phase_a_non_reading,COA-01|P1|code|r1,COA-01,计算机组成原理,Cache 映射与替换,P1,code,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-01|P1|doc|r1,formal_phase_a_non_reading,COA-01|P1|doc|r1,COA-01,计算机组成原理,Cache 映射与替换,P1,doc,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-01|P1|path|r1,formal_phase_a_non_reading,COA-01|P1|path|r1,COA-01,计算机组成原理,Cache 映射与替换,P1,path,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-01|P1|quiz|r1,formal_phase_a_non_reading,COA-01|P1|quiz|r1,COA-01,计算机组成原理,Cache 映射与替换,P1,quiz,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-01|P2|code|r1,formal_phase_a_non_reading,COA-01|P2|code|r1,COA-01,计算机组成原理,Cache 映射与替换,P2,code,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-01|P2|doc|r1,formal_phase_a_non_reading,COA-01|P2|doc|r1,COA-01,计算机组成原理,Cache 映射与替换,P2,doc,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-01|P2|path|r1,formal_phase_a_non_reading,COA-01|P2|path|r1,COA-01,计算机组成原理,Cache 映射与替换,P2,path,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-01|P2|quiz|r1,formal_phase_a_non_reading,COA-01|P2|quiz|r1,COA-01,计算机组成原理,Cache 映射与替换,P2,quiz,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-01|P3|code|r1,formal_phase_a_non_reading,COA-01|P3|code|r1,COA-01,计算机组成原理,Cache 映射与替换,P3,code,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-01|P3|doc|r1,formal_phase_a_non_reading,COA-01|P3|doc|r1,COA-01,计算机组成原理,Cache 映射与替换,P3,doc,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-01|P3|path|r1,formal_phase_a_non_reading,COA-01|P3|path|r1,COA-01,计算机组成原理,Cache 映射与替换,P3,path,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-01|P3|quiz|r1,formal_phase_a_non_reading,COA-01|P3|quiz|r1,COA-01,计算机组成原理,Cache 映射与替换,P3,quiz,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-02|P1|code|r1,formal_phase_a_non_reading,COA-02|P1|code|r1,COA-02,计算机组成原理,流水线数据冒险,P1,code,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-02|P1|doc|r1,formal_phase_a_non_reading,COA-02|P1|doc|r1,COA-02,计算机组成原理,流水线数据冒险,P1,doc,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-02|P1|path|r1,formal_phase_a_non_reading,COA-02|P1|path|r1,COA-02,计算机组成原理,流水线数据冒险,P1,path,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-02|P1|quiz|r1,formal_phase_a_non_reading,COA-02|P1|quiz|r1,COA-02,计算机组成原理,流水线数据冒险,P1,quiz,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-02|P2|code|r1,formal_phase_a_non_reading,COA-02|P2|code|r1,COA-02,计算机组成原理,流水线数据冒险,P2,code,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-02|P2|doc|r1,formal_phase_a_non_reading,COA-02|P2|doc|r1,COA-02,计算机组成原理,流水线数据冒险,P2,doc,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-02|P2|path|r1,formal_phase_a_non_reading,COA-02|P2|path|r1,COA-02,计算机组成原理,流水线数据冒险,P2,path,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-02|P2|quiz|r1,formal_phase_a_non_reading,COA-02|P2|quiz|r1,COA-02,计算机组成原理,流水线数据冒险,P2,quiz,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-02|P3|code|r1,formal_phase_a_non_reading,COA-02|P3|code|r1,COA-02,计算机组成原理,流水线数据冒险,P3,code,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-02|P3|doc|r1,formal_phase_a_non_reading,COA-02|P3|doc|r1,COA-02,计算机组成原理,流水线数据冒险,P3,doc,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-02|P3|path|r1,formal_phase_a_non_reading,COA-02|P3|path|r1,COA-02,计算机组成原理,流水线数据冒险,P3,path,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-02|P3|quiz|r1,formal_phase_a_non_reading,COA-02|P3|quiz|r1,COA-02,计算机组成原理,流水线数据冒险,P3,quiz,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-03|P1|code|r1,formal_phase_a_non_reading,COA-03|P1|code|r1,COA-03,计算机组成原理,IEEE 754 浮点数,P1,code,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-03|P1|doc|r1,formal_phase_a_non_reading,COA-03|P1|doc|r1,COA-03,计算机组成原理,IEEE 754 浮点数,P1,doc,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-03|P1|path|r1,formal_phase_a_non_reading,COA-03|P1|path|r1,COA-03,计算机组成原理,IEEE 754 浮点数,P1,path,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-03|P1|quiz|r1,formal_phase_a_non_reading,COA-03|P1|quiz|r1,COA-03,计算机组成原理,IEEE 754 浮点数,P1,quiz,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-03|P2|code|r1,formal_phase_a_non_reading,COA-03|P2|code|r1,COA-03,计算机组成原理,IEEE 754 浮点数,P2,code,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-03|P2|doc|r1,formal_phase_a_non_reading,COA-03|P2|doc|r1,COA-03,计算机组成原理,IEEE 754 浮点数,P2,doc,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-03|P2|path|r1,formal_phase_a_non_reading,COA-03|P2|path|r1,COA-03,计算机组成原理,IEEE 754 浮点数,P2,path,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-03|P2|quiz|r1,formal_phase_a_non_reading,COA-03|P2|quiz|r1,COA-03,计算机组成原理,IEEE 754 浮点数,P2,quiz,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-03|P3|code|r1,formal_phase_a_non_reading,COA-03|P3|code|r1,COA-03,计算机组成原理,IEEE 754 浮点数,P3,code,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-03|P3|doc|r1,formal_phase_a_non_reading,COA-03|P3|doc|r1,COA-03,计算机组成原理,IEEE 754 浮点数,P3,doc,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-03|P3|path|r1,formal_phase_a_non_reading,COA-03|P3|path|r1,COA-03,计算机组成原理,IEEE 754 浮点数,P3,path,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-03|P3|quiz|r1,formal_phase_a_non_reading,COA-03|P3|quiz|r1,COA-03,计算机组成原理,IEEE 754 浮点数,P3,quiz,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-04|P1|code|r1,formal_phase_a_non_reading,COA-04|P1|code|r1,COA-04,计算机组成原理,虚地址翻译,P1,code,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-04|P1|doc|r1,formal_phase_a_non_reading,COA-04|P1|doc|r1,COA-04,计算机组成原理,虚地址翻译,P1,doc,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-04|P1|path|r1,formal_phase_a_non_reading,COA-04|P1|path|r1,COA-04,计算机组成原理,虚地址翻译,P1,path,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-04|P1|quiz|r1,formal_phase_a_non_reading,COA-04|P1|quiz|r1,COA-04,计算机组成原理,虚地址翻译,P1,quiz,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-04|P2|code|r1,formal_phase_a_non_reading,COA-04|P2|code|r1,COA-04,计算机组成原理,虚地址翻译,P2,code,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-04|P2|doc|r1,formal_phase_a_non_reading,COA-04|P2|doc|r1,COA-04,计算机组成原理,虚地址翻译,P2,doc,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-04|P2|path|r1,formal_phase_a_non_reading,COA-04|P2|path|r1,COA-04,计算机组成原理,虚地址翻译,P2,path,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-04|P2|quiz|r1,formal_phase_a_non_reading,COA-04|P2|quiz|r1,COA-04,计算机组成原理,虚地址翻译,P2,quiz,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-04|P3|code|r1,formal_phase_a_non_reading,COA-04|P3|code|r1,COA-04,计算机组成原理,虚地址翻译,P3,code,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-04|P3|doc|r1,formal_phase_a_non_reading,COA-04|P3|doc|r1,COA-04,计算机组成原理,虚地址翻译,P3,doc,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-04|P3|path|r1,formal_phase_a_non_reading,COA-04|P3|path|r1,COA-04,计算机组成原理,虚地址翻译,P3,path,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|COA-04|P3|quiz|r1,formal_phase_a_non_reading,COA-04|P3|quiz|r1,COA-04,计算机组成原理,虚地址翻译,P3,quiz,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|DSA-01|P1|code|r1,formal_phase_a_non_reading,DSA-01|P1|code|r1,DSA-01,数据结构与算法,Dijkstra 最短路径,P1,code,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|DSA-01|P1|doc|r1,formal_phase_a_non_reading,DSA-01|P1|doc|r1,DSA-01,数据结构与算法,Dijkstra 最短路径,P1,doc,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|DSA-01|P1|path|r1,formal_phase_a_non_reading,DSA-01|P1|path|r1,DSA-01,数据结构与算法,Dijkstra 最短路径,P1,path,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|DSA-01|P1|quiz|r1,formal_phase_a_non_reading,DSA-01|P1|quiz|r1,DSA-01,数据结构与算法,Dijkstra 最短路径,P1,quiz,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|DSA-01|P2|code|r1,formal_phase_a_non_reading,DSA-01|P2|code|r1,DSA-01,数据结构与算法,Dijkstra 最短路径,P2,code,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|DSA-01|P2|doc|r1,formal_phase_a_non_reading,DSA-01|P2|doc|r1,DSA-01,数据结构与算法,Dijkstra 最短路径,P2,doc,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|DSA-01|P2|path|r1,formal_phase_a_non_reading,DSA-01|P2|path|r1,DSA-01,数据结构与算法,Dijkstra 最短路径,P2,path,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|DSA-01|P2|quiz|r1,formal_phase_a_non_reading,DSA-01|P2|quiz|r1,DSA-01,数据结构与算法,Dijkstra 最短路径,P2,quiz,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|DSA-01|P3|code|r1,formal_phase_a_non_reading,DSA-01|P3|code|r1,DSA-01,数据结构与算法,Dijkstra 最短路径,P3,code,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|DSA-01|P3|doc|r1,formal_phase_a_non_reading,DSA-01|P3|doc|r1,DSA-01,数据结构与算法,Dijkstra 最短路径,P3,doc,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|DSA-01|P3|path|r1,formal_phase_a_non_reading,DSA-01|P3|path|r1,DSA-01,数据结构与算法,Dijkstra 最短路径,P3,path,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|DSA-01|P3|quiz|r1,formal_phase_a_non_reading,DSA-01|P3|quiz|r1,DSA-01,数据结构与算法,Dijkstra 最短路径,P3,quiz,1,deepseek,deepseek-v4-pro,ok,false,ok
formal_phase_a_non_reading|DSA-02|P1|code|r1,formal_phase_a_non_reading,DSA-02|P1|code|r1,DSA-02,数据结构与算法,红黑树,P1,code,1,deepseek,deepseek-v4-pro,ok,false,ok
