rerating_id,batch_id,old_triplet_id,course_name,topic,agent_id,final_assignment,decision_source,adjudication_id,confidence,indistinguishable,exact_profile_matches,full_match,pairwise_correct,pairwise_order_accuracy,extreme_pair_correct,extreme_reversed
LC-T-1a9f2cd8c10dc6,deepseek_unseen_doc_path,E1-T-320f3d3d9617,数据结构与算法,最小生成树 Prim 算法,doc,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-1c0dcbced58eb3,path_contract_retest,E1-T-cadd51c16b4f,计算机组成原理,虚地址翻译,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-1f1fae557496df,formal_phase_a_path,E1-T-fb5445ee1144,机器学习,K-Means 聚类,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-1f70c2b6a9dbf0,formal_phase_a_path,E1-T-17dde9e63e68,机器学习,PCA 主成分分析,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-214734b2fd70e3,formal_phase_a_path,E1-T-a47c831b7f0e,计算机组成原理,IEEE 754 浮点数,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-259928c9607367,qwen_unseen_doc_path,E1-T-a508776ab899,计算机网络,ICMP 差错报告与 ping、traceroute,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-28f987603ae70f,qwen_unseen_doc_path,E1-T-179d8d8893ae,操作系统,读者-写者问题与公平性,doc,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-29ad8ced502b13,path_contract_retest,E1-T-5df13c5e1abe,数据结构与算法,拓扑排序,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-29ed94ac0acb58,doc_contract_retest,E1-T-a24f500bfb88,操作系统,进程调度,doc,P3>P1>P2,independent_adjudication,LC-A-T-97075f76958fb0,high,no,0,False,1,0.3333,False,True
LC-T-2ad9966ef413a7,deepseek_unseen_doc_path,E1-T-10264783bc2e,操作系统,读者-写者问题与公平性,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-30bb71dee7025d,deepseek_unseen_doc_path,E1-T-cb49a8e83e4c,机器学习,Bagging 与随机森林,doc,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-341ed85f8af2e2,path_contract_retest,E1-T-c05d9fdd1ff7,机器学习,梯度下降,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-35f9ebcd7faae3,deepseek_unseen_doc_path,E1-T-dfb12ae0eb20,机器学习,Bagging 与随机森林,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-36bf45b03393e4,formal_phase_a_path,E1-T-442313e74e3c,计算机网络,DNS 解析过程,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-387e69e6ecb4a9,qwen_unseen_doc_path,E1-T-854388ca67d4,数据结构与算法,最小生成树 Prim 算法,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-38cefd260339f6,path_contract_retest,E1-T-37d45bd947b3,操作系统,进程调度,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-3af0ab4f049d8e,path_contract_retest,E1-T-c633820265ec,计算机网络,HTTPS 与 TLS,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-3c7e48ab4122ab,qwen_unseen_doc_path,E1-T-7b2ac1a05095,计算机组成原理,Cache 写直达、写回与写分配,doc,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-468501f1a177b8,deepseek_unseen_doc_path,E1-T-644419bdbeff,计算机网络,ICMP 差错报告与 ping、traceroute,doc,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-4c82896b25980c,formal_phase_a_path,E1-T-2f66e535db00,数据结构与算法,拓扑排序,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-4dd67f906bf202,deepseek_unseen_doc_path,E1-T-c59d9984a1c4,计算机网络,QUIC 与 HTTP/3,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-556738f84290cd,formal_phase_a_path,E1-T-9001d573ad8e,数据结构与算法,KMP 字符串匹配,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-56a84a51a71ff8,path_contract_retest,E1-T-1c4505f90049,数据结构与算法,Dijkstra 最短路径,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-5c99380628dcbd,qwen_unseen_doc_path,E1-T-dc8e307e2c23,数据结构与算法,哈希表冲突处理与负载因子,doc,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-64b432251c4076,deepseek_unseen_doc_path,E1-T-841084acfc14,机器学习,支持向量机的间隔与核方法,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-6948b9440be0f4,qwen_unseen_doc_path,E1-T-7c72094d31eb,机器学习,支持向量机的间隔与核方法,doc,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-6a71de07bf58dc,doc_contract_retest,E1-T-2734c6099441,计算机组成原理,Cache 映射与替换,doc,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-711f5ac6a156ed,path_contract_retest,E1-T-a27b10ba39ee,机器学习,PCA 主成分分析,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-72830f97b1c9fa,qwen_unseen_doc_path,E1-T-5f48b6d0eab5,计算机组成原理,Cache 写直达、写回与写分配,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-7887762c64f425,path_contract_retest,E1-T-2566f3288108,计算机网络,TCP 三次握手,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-7a473c5980d012,formal_phase_a_path,E1-T-8820ddfbec2f,计算机组成原理,流水线数据冒险,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-7bb1234dff112d,path_contract_retest,E1-T-d84fc3f8f77b,操作系统,信号量与互斥锁,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-7c222944371218,deepseek_unseen_doc_path,E1-T-f6f65b744a1c,数据结构与算法,哈希表冲突处理与负载因子,doc,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-811d6cf01c65b2,qwen_unseen_doc_path,E1-T-374faf3a63bf,计算机组成原理,计算机性能指标 CPI、MIPS 与 FLOPS,doc,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-8c39e5b01983e2,formal_phase_a_path,E1-T-13350ced7ba5,计算机网络,拥塞控制,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-90e78182adb361,deepseek_unseen_doc_path,E1-T-e30225dd264f,计算机组成原理,Cache 写直达、写回与写分配,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-9108b236ef027b,doc_contract_retest,E1-T-785619b1a2fd,操作系统,虚拟内存与页表,doc,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-92e0a557138bb6,qwen_unseen_doc_path,E1-T-8398ecab2f94,机器学习,Bagging 与随机森林,doc,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-93aee795fa4eec,doc_contract_retest,E1-T-0684d144692a,数据结构与算法,Dijkstra 最短路径,doc,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-9a0e26dad9ac57,qwen_unseen_doc_path,E1-T-6a8a2d5c774e,机器学习,支持向量机的间隔与核方法,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-a13d076f8c2c65,doc_contract_retest,E1-T-573384d0b4fa,数据结构与算法,红黑树,doc,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-a48ef0286b2e42,formal_phase_a_path,E1-T-8f029c060cd8,操作系统,死锁四条件,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-a834d1b0c6a214,formal_phase_a_path,E1-T-0842c7060bba,操作系统,虚拟内存与页表,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-a89f7389d47d6d,formal_phase_a_path,E1-T-27505aea8283,计算机网络,HTTPS 与 TLS,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-aa3060b53d8635,formal_phase_a_path,E1-T-5a959897d95a,数据结构与算法,红黑树,path,P1>P2>P3,independent_adjudication,LC-A-T-a5267518ef42c2,high,no,3,True,3,1.0,True,False
LC-T-aa81bbb955aa7d,deepseek_unseen_doc_path,E1-T-f950096ad9b0,计算机组成原理,计算机性能指标 CPI、MIPS 与 FLOPS,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-af7f6047b84ecb,doc_contract_retest,E1-T-0602ec8ba608,机器学习,决策树剪枝,doc,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-afb9e53e346753,formal_phase_a_path,E1-T-05336fb4a7e0,操作系统,信号量与互斥锁,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-b35262c26c6791,qwen_unseen_doc_path,E1-T-cea165c58788,计算机网络,ICMP 差错报告与 ping、traceroute,doc,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-ba183a94ae92cd,deepseek_unseen_doc_path,E1-T-7f573d6e9301,计算机组成原理,Cache 写直达、写回与写分配,doc,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-bbfb6fa0e2bca1,deepseek_unseen_doc_path,E1-T-1c68bab2a5dd,计算机组成原理,计算机性能指标 CPI、MIPS 与 FLOPS,doc,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-bc1cdafe985890,formal_phase_a_path,E1-T-7222dd4cc776,计算机网络,TCP 三次握手,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-cc09f58b68a536,qwen_unseen_doc_path,E1-T-64bbcda86ea2,计算机网络,QUIC 与 HTTP/3,doc,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-ccb7c0846d4b54,qwen_unseen_doc_path,E1-T-4b93aac623e1,计算机网络,QUIC 与 HTTP/3,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-d2aaf5db2c43c6,formal_phase_a_path,E1-T-00ec5a585c84,计算机组成原理,Cache 映射与替换,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-d549d1bed3388f,qwen_unseen_doc_path,E1-T-e627bc78fdfd,操作系统,读者-写者问题与公平性,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-d7637986ee7c12,doc_contract_retest,E1-T-3945d3b5237c,机器学习,梯度下降,doc,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-d7c0b67575f22c,deepseek_unseen_doc_path,E1-T-ec8a9587c4db,计算机网络,ICMP 差错报告与 ping、traceroute,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-dea15cd6556dbd,deepseek_unseen_doc_path,E1-T-0ae1639b0045,操作系统,TLB 快表命中与缺失处理,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-e0b2ccb77fddbe,qwen_unseen_doc_path,E1-T-05eee0605eb9,数据结构与算法,哈希表冲突处理与负载因子,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-e17c55beb88905,formal_phase_a_path,E1-T-53cab9e99cd0,数据结构与算法,Dijkstra 最短路径,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-e9b386e796ad4e,formal_phase_a_path,E1-T-313dca3a6e2f,机器学习,梯度下降,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-eb7ac75583866c,qwen_unseen_doc_path,E1-T-deb45af8c40c,机器学习,Bagging 与随机森林,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-ee8e9b7b993210,deepseek_unseen_doc_path,E1-T-ccf4c52a25e0,操作系统,TLB 快表命中与缺失处理,doc,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-f0437d6df1c8a8,deepseek_unseen_doc_path,E1-T-710a2881624e,数据结构与算法,最小生成树 Prim 算法,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-f16b96f883f3f3,path_contract_retest,E1-T-a2c0d0c516d6,计算机组成原理,Cache 映射与替换,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-f6615646f2a8dc,deepseek_unseen_doc_path,E1-T-296537ebee65,机器学习,支持向量机的间隔与核方法,doc,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-f832bc00a57527,qwen_unseen_doc_path,E1-T-d47df633ceca,计算机组成原理,计算机性能指标 CPI、MIPS 与 FLOPS,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-f8f58d3da5ef7a,formal_phase_a_path,E1-T-21b1cc0bf916,机器学习,决策树剪枝,path,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
LC-T-ff01226fe8e09a,deepseek_unseen_doc_path,E1-T-58aaaec08bd3,操作系统,读者-写者问题与公平性,doc,P1>P2>P3,initial_unanimity,,,,3,True,3,1.0,True,False
