rerating_id,batch_id,old_comparison_id,course_name,topic,agent_id,target_profile_id,profiled_votes,default_contract_votes,tie_votes,final_decision,decision_source,adjudication_id,confidence,old_final_decision,same_as_old_final
LC-B-6aff7c3f7a5c7e,deepseek_default_contract_doc_path,E1-B-38e5b7c49ca5,计算机组成原理,计算机性能指标 CPI、MIPS 与 FLOPS,doc,P2,1,1,0,profiled,independent_adjudication,LC-A-B-4417fcb564b05b,medium,profiled,True
LC-B-725c943fef38b5,deepseek_default_contract_doc_path,E1-B-17a06277d3a2,数据结构与算法,哈希表冲突处理与负载因子,doc,P3,2,0,0,profiled,initial_unanimity,,,profiled,True
LC-B-738cd59e4347b1,deepseek_default_contract_doc_path,E1-B-e33e49722884,操作系统,读者-写者问题与公平性,doc,P3,2,0,0,profiled,initial_unanimity,,,profiled,True
LC-B-7820513f776649,deepseek_default_contract_doc_path,E1-B-6ad50e0c2ef8,数据结构与算法,哈希表冲突处理与负载因子,path,P2,1,0,1,profiled,independent_adjudication,LC-A-B-db38af150d25fb,high,profiled,True
LC-B-82e59902011e9d,deepseek_default_contract_doc_path,E1-B-7a89eec00616,计算机组成原理,计算机性能指标 CPI、MIPS 与 FLOPS,doc,P1,2,0,0,profiled,initial_unanimity,,,profiled,True
LC-B-86c24a37635705,deepseek_default_contract_doc_path,E1-B-6988521cb18a,计算机网络,ICMP 差错报告与 ping、traceroute,doc,P3,2,0,0,profiled,initial_unanimity,,,profiled,True
LC-B-8a58a72282922e,deepseek_default_contract_doc_path,E1-B-0b6c3ed97eaf,操作系统,读者-写者问题与公平性,path,P1,2,0,0,profiled,initial_unanimity,,,profiled,True
LC-B-8b545021c4ae08,deepseek_default_contract_doc_path,E1-B-ff4f9af681b5,机器学习,Bagging 与随机森林,path,P2,0,2,0,default_contract,initial_unanimity,,,profiled,False
LC-B-901e9313cbac38,deepseek_default_contract_doc_path,E1-B-83ef13578f14,数据结构与算法,最小生成树 Prim 算法,path,P1,2,0,0,profiled,initial_unanimity,,,profiled,True
LC-B-98ed651a619591,deepseek_default_contract_doc_path,E1-B-41234d1f573d,计算机组成原理,Cache 写直达、写回与写分配,path,P2,0,1,1,profiled,independent_adjudication,LC-A-B-0bf99d81ec7228,medium,default_contract,False
LC-B-9d92430b1684b6,deepseek_default_contract_doc_path,E1-B-272de4f82a18,计算机组成原理,Cache 写直达、写回与写分配,path,P1,2,0,0,profiled,initial_unanimity,,,profiled,True
LC-B-a2c8f810b273d3,deepseek_default_contract_doc_path,E1-B-2ed9d9fbe9a8,计算机组成原理,Cache 写直达、写回与写分配,doc,P2,1,0,1,profiled,independent_adjudication,LC-A-B-035b3249eeb591,medium,default_contract,False
LC-B-a7b8c06fc23661,deepseek_default_contract_doc_path,E1-B-175d65b0d1ba,操作系统,TLB 快表命中与缺失处理,doc,P1,2,0,0,profiled,initial_unanimity,,,profiled,True
LC-B-ab01594b1f8cac,deepseek_default_contract_doc_path,E1-B-3fa8de731877,操作系统,读者-写者问题与公平性,doc,P2,1,1,0,default_contract,independent_adjudication,LC-A-B-06db76b37bf8dd,medium,profiled,False
LC-B-b055e35c917e84,deepseek_default_contract_doc_path,E1-B-b8ff2c661fc3,计算机组成原理,计算机性能指标 CPI、MIPS 与 FLOPS,doc,P3,1,1,0,profiled,independent_adjudication,LC-A-B-960bf1c60264f2,high,profiled,True
LC-B-b16a99833de3bc,deepseek_default_contract_doc_path,E1-B-fc3caad7f223,计算机网络,QUIC 与 HTTP/3,path,P3,2,0,0,profiled,initial_unanimity,,,profiled,True
LC-B-bab19d7e7d1e7c,deepseek_default_contract_doc_path,E1-B-f28736ec65d9,数据结构与算法,哈希表冲突处理与负载因子,doc,P2,0,1,1,tie,independent_adjudication,LC-A-B-1f9b6041d449c8,medium,profiled,False
LC-B-c1fe376d6f67d5,deepseek_default_contract_doc_path,E1-B-8c3fac0acdeb,数据结构与算法,最小生成树 Prim 算法,path,P2,0,2,0,default_contract,initial_unanimity,,,profiled,False
LC-B-cc8fabb0a7028a,deepseek_default_contract_doc_path,E1-B-f6f6e49f5c74,数据结构与算法,最小生成树 Prim 算法,doc,P2,2,0,0,profiled,initial_unanimity,,,profiled,True
LC-B-ced48a47dc95d8,deepseek_default_contract_doc_path,E1-B-b045543977fd,操作系统,读者-写者问题与公平性,path,P3,2,0,0,profiled,initial_unanimity,,,profiled,True
LC-B-d10d4ba7f38e6b,deepseek_default_contract_doc_path,E1-B-1bc202053284,计算机组成原理,计算机性能指标 CPI、MIPS 与 FLOPS,path,P1,2,0,0,profiled,initial_unanimity,,,profiled,True
LC-B-d2dfaaafe31ba0,deepseek_default_contract_doc_path,E1-B-23b7c9e6337a,计算机组成原理,Cache 写直达、写回与写分配,doc,P3,2,0,0,profiled,initial_unanimity,,,profiled,True
LC-B-d392a540383e3e,deepseek_default_contract_doc_path,E1-B-7d9df3354101,计算机网络,QUIC 与 HTTP/3,doc,P3,2,0,0,profiled,initial_unanimity,,,profiled,True
LC-B-d7c7e410df37bd,deepseek_default_contract_doc_path,E1-B-e57ae7bbeaad,操作系统,TLB 快表命中与缺失处理,doc,P2,2,0,0,profiled,initial_unanimity,,,default_contract,False
LC-B-e220c752312477,deepseek_default_contract_doc_path,E1-B-eb5b460270b5,操作系统,TLB 快表命中与缺失处理,doc,P3,1,1,0,profiled,independent_adjudication,LC-A-B-c4f527cfd55e8e,high,profiled,True
LC-B-e29cc53a5c787f,deepseek_default_contract_doc_path,E1-B-2f66aa1b8e57,计算机网络,QUIC 与 HTTP/3,path,P2,1,1,0,profiled,independent_adjudication,LC-A-B-67c36169386bc7,medium,profiled,True
LC-B-ef2592e58a45b1,deepseek_default_contract_doc_path,E1-B-e5bb70877af0,机器学习,Bagging 与随机森林,path,P3,2,0,0,profiled,initial_unanimity,,,profiled,True
LC-B-f1d92d908484d2,deepseek_default_contract_doc_path,E1-B-0a6f08a2017e,计算机网络,QUIC 与 HTTP/3,doc,P1,2,0,0,profiled,initial_unanimity,,,profiled,True
LC-B-f624d9bb4c780a,deepseek_default_contract_doc_path,E1-B-533577a0beee,机器学习,Bagging 与随机森林,doc,P3,1,1,0,profiled,independent_adjudication,LC-A-B-d4ba2ced7d431a,high,profiled,True
