dataset_id,dataset_label,review_id,course_code,course_name,topic,agent_id,final_factual_correctness,final_quality_floor_pass,error_category,evidence_or_reason
doc_code_repair_v1,Doc/Code v2 复测,E1-Q-da5170084ab4,COA,计算机组成原理,Cache 映射与替换,code,major_error,no,cache_mapping_or_replacement_error,地址序列以0为结束哨兵但首元素也是0，循环立即结束，无法得到预期命中数。; 示例输入与终止条件冲突。
doc_code_repair_v1,Doc/Code v2 复测,E1-Q-c6bf1eb3e346,DSA,数据结构与算法,红黑树,code,minor_error,yes,execution_or_compilation_error,红黑树代码可编译运行且性质合理，但查找10实际为黑色，预期写成红色。
doc_code_repair_v1,Doc/Code v2 复测,E1-Q-da6628bcd766,ML,机器学习,梯度下降,doc,minor_error,yes,conceptual_overstatement_or_missing_condition,梯度下降主线正确，但L光滑下“保证收敛”表述缺少凸性等条件限定。
doc_code_repair_v1,Doc/Code v2 复测,E1-Q-afdbee8c8cb8,ML,机器学习,梯度下降,code,minor_error,yes,code_expected_output_or_trace_mismatch,代码可运行并收敛，但因特征标准化，输出参数不接近说明中的原始截距2斜率3。
doc_code_repair_v1,Doc/Code v2 复测,E1-Q-e3fe52177d97,OS,操作系统,虚拟内存与页表,code,minor_error,yes,os_memory_semantic_error,高级虚拟内存代码可运行，但TLB命中路径跳过写权限检查，预期写保护未触发。
doc_code_repair_v1,Doc/Code v2 复测,E1-Q-21a8a68eff1c,OS,操作系统,进程调度,code,minor_error,yes,execution_or_compilation_error,MLFQ代码可编译运行，但降级日志出现优先级3的越界表述，核心调度仍完成。
code_v21_repair_v1,Code v2.1,E1-Q-5d1277626387,COA,计算机组成原理,Cache 映射与替换,code,major_error,no,cache_mapping_or_replacement_error,组索引实际为(address>>2)&3，0、4、8、12分属四组，并非都在组0；程序实际输出3次命中、7次未命中，与解释和预期1次命中不符。; FIFO实现可运行，但核心地址映射分析和预期结果错误。; 组索引实际为(address>>2)&3，0、4、8、12分属四组，并非都在组0；程序实际输出3次命中、7次未命中，与解释和预期1次命中不符。; FIFO实现可运行，但核心地址映射分析和预期结果错误。
code_v21_repair_v1,Code v2.1,E1-Q-aeedb695a40b,COA,计算机组成原理,流水线数据冒险,code,major_error,no,pipeline_hazard_semantic_error,"RAW、转发和load-use停顿原理正确，但.word 20并不位于地址0，lw x5,0(x0)无法读到该值，ecall也未设置a7，代码不能产生声称结果。; 应通过标签取数据地址，并设置符合目标模拟器约定的退出系统调用。; RAW、转发和load-use停顿原理正确，但.word 20并不位于地址0，lw x5,0(x0)无法读到该值，ecall也未设置a7，代码不能产生声称结果。; 应通过标签取数据地址，并设置符合目标模拟器约定的退出系统调用。"
code_v21_repair_v1,Code v2.1,E1-Q-e47cf3d7ef3c,DSA,数据结构与算法,红黑树,code,major_error,no,red_black_tree_invariant_error,该函数并未实现红黑树插入Case 3：它错误地提升当前节点8并令7成为8的右子，破坏BST次序，也未按规则围绕祖父节点旋转和给父节点变色。; 程序虽能打印预期文本，但构造在修复前已含连续红节点，修复后仍不是合法红黑树。; 该函数并未实现红黑树插入Case 3：它错误地提升当前节点8并令7成为8的右子，破坏BST次序，也未按规则围绕祖父节点旋转和给父节点变色。; 程序虽能打印预期文本，但构造在修复前已含连续红节点，修复后仍不是合法红黑树。
code_v21_repair_v1,Code v2.1,E1-Q-fc4e20d02cb8,DSA,数据结构与算法,红黑树,code,pass,no,execution_or_compilation_error,旋转和红黑性质检查逻辑及预期结论本身正确，但使用std::function却缺少#include <functional>，代码无法编译。; 补充<functional>后可编译；当前未达到可执行代码质量底线。; 旋转和红黑性质检查逻辑及预期结论本身正确，但使用std::function却缺少#include <functional>，代码无法编译。; 补充<functional>后可编译；当前未达到可执行代码质量底线。
code_v21_repair_v1,Code v2.1,E1-Q-3dc1c220869e,OS,操作系统,虚拟内存与页表,code,major_error,no,execution_or_compilation_error,测试1的0x00001234实际VPN为1而非页0，会得到0x0000A234而非0x00005234；同时VPN先与0x3FF掩码后再检查>=1024，使越界检查永远无法触发。; 作为C风格伪代码结构可检查；若按可编译C代码使用，还缺少stdio.h和string.h。; 测试1的0x00001234实际VPN为1而非页0，会得到0x0000A234而非0x00005234；同时VPN先与0x3FF掩码后再检查>=1024，使越界检查永远无法触发。; 作为C风格伪代码结构可检查；若按可编译C代码使用，还缺少stdio.h和string.h。
code_v21_repair_v1,Code v2.1,E1-Q-486bd954e60a,OS,操作系统,虚拟内存与页表,code,major_error,no,os_memory_semantic_error,初始化明确将前4页设为有效，因此虚拟地址5000属于页1并会命中，而预期却将其判为缺页；核心测试结论与代码直接矛盾。; 代码实际会将5000翻译为物理地址5000，只有20000所在的页4缺页。; 初始化明确将前4页设为有效，因此虚拟地址5000属于页1并会命中，而预期却将其判为缺页；核心测试结论与代码直接矛盾。; 代码实际会将5000翻译为物理地址5000，只有20000所在的页4缺页。
code_v21_repair_v1,Code v2.1,E1-Q-53d3afa68ea5,OS,操作系统,虚拟内存与页表,code,minor_error,yes,os_memory_semantic_error,页号、偏移、有效位和上界检查的主体逻辑正确，预期描述与随机初始化相容；但int类型虚拟地址未检查负值，负地址可能造成页表负下标。; 固定srand只在同一C库实现上保证相同随机序列，所谓正常案例不保证一定命中。; 页号、偏移、有效位和上界检查的主体逻辑正确，预期描述与随机初始化相容；但int类型虚拟地址未检查负值，负地址可能造成页表负下标。; 固定srand只在同一C库实现上保证相同随机序列，所谓正常案例不保证一定命中。
code_v23_retest_v1,Code v2.3,E1-Q-a6bc9aa367d4,COA,计算机组成原理,流水线数据冒险,code,minor_error,yes,pipeline_hazard_semantic_error,RAW/转发和load-use说明基本切题，但load-use示例先使用x3再插入nop，且内存初值是假设，代码与说明不完全一致。; 结构可检查；最终x4由第二次addi覆盖，教学表达有瑕疵。; RAW/转发和load-use说明基本切题，但load-use示例先使用x3再插入nop，且内存初值是假设，代码与说明不完全一致。; 结构可检查；最终x4由第二次addi覆盖，教学表达有瑕疵。
code_v23_retest_v1,Code v2.3,E1-Q-d2bbfb013326,COA,计算机组成原理,流水线数据冒险,code,major_error,no,pipeline_hazard_semantic_error,声称无转发需插入nop解决，但第一处RAW依赖的nop插在使用之后，不能解决x1到x2的无转发冒险。; 顺序语义下期望寄存器值成立，但作为流水线无转发示例存在关键专业错误。; 声称无转发需插入nop解决，但第一处RAW依赖的nop插在使用之后，不能解决x1到x2的无转发冒险。; 顺序语义下期望寄存器值成立，但作为流水线无转发示例存在关键专业错误。
code_v23_retest_v1,Code v2.3,E1-Q-314a63c30ced,COA,计算机组成原理,流水线数据冒险,code,minor_error,yes,pipeline_hazard_semantic_error,RAW冒险与转发说明总体正确，寄存器结果可推出；但对ID阶段读取和x4已写回的表述不够严谨。; RAW冒险与转发说明总体正确，寄存器结果可推出；但对ID阶段读取和x4已写回的表述不够严谨。
code_v23_retest_v1,Code v2.3,E1-Q-b42967a034c1,DSA,数据结构与算法,红黑树,code,major_error,no,red_black_tree_invariant_error,红黑树case3局部树旋转后仍可能违反黑高一致性，却在检查说明中声称符合红黑树性质。; 输出文本本身可打印，但性质判断不完整，质量线不通过。; 红黑树case3局部树旋转后仍可能违反黑高一致性，却在检查说明中声称符合红黑树性质。; 输出文本本身可打印，但性质判断不完整，质量线不通过。
code_v23_retest_v1,Code v2.3,E1-Q-e57ab8fcc12f,DSA,数据结构与算法,红黑树,code,minor_error,yes,red_black_tree_invariant_error,左旋实现和预期输出一致，并保持BST结构；但示例树本身不是完整合法红黑树，颜色/黑高说明偏简化。; 作为左旋入门演示可通过质量线。; 左旋实现和预期输出一致，并保持BST结构；但示例树本身不是完整合法红黑树，颜色/黑高说明偏简化。; 作为左旋入门演示可通过质量线。
code_v23_retest_v1,Code v2.3,E1-Q-5551df9c5abd,OS,操作系统,虚拟内存与页表,code,major_error,no,os_memory_semantic_error,页表初始化使页1无效，但预期声称0x1000可翻译为0x2000；代码、解释和预期输出不一致。; 同时注释提到负地址检查但接口为unsigned，存在自动warning所指问题。; 页表初始化使页1无效，但预期声称0x1000可翻译为0x2000；代码、解释和预期输出不一致。; 同时注释提到负地址检查但接口为unsigned，存在自动warning所指问题。
code_v24_retest_v1,Code v2.4,E1-Q-500a6297c5e0,COA,计算机组成原理,Cache 映射与替换,code,minor_error,yes,cache_mapping_or_replacement_error,LRU 实现可检查，但地址 16 应替换组 0 中较久未用的块 8，随后访问 0 应命中，预期输出末项错误。; LRU 实现可检查，但地址 16 应替换组 0 中较久未用的块 8，随后访问 0 应命中，预期输出末项错误。
code_v24_retest_v1,Code v2.4,E1-Q-663f3d62cdbe,COA,计算机组成原理,流水线数据冒险,code,minor_error,yes,pipeline_hazard_semantic_error,代码和转发/load-use 结论基本正确；但经典五级流水线无转发的紧邻 RAW 通常需两个停顿而非说明中的一个。; 代码和转发/load-use 结论基本正确；但经典五级流水线无转发的紧邻 RAW 通常需两个停顿而非说明中的一个。
code_v24_retest_v1,Code v2.4,E1-Q-398ccba1e904,DSA,数据结构与算法,红黑树,code,minor_error,yes,red_black_tree_invariant_error,所构造的树和输出验证正确，但通用验证函数未实际检查根节点为黑色，与其说明不完全相符。; 所构造的树和输出验证正确，但通用验证函数未实际检查根节点为黑色，与其说明不完全相符。
code_v24_retest_v1,Code v2.4,E1-Q-24021c4602b8,OS,操作系统,虚拟内存与页表,code,major_error,no,cache_mapping_or_replacement_error,代码中页号 1 映射至帧 101，0x1234 应翻译为 0x65234，不是预期和说明中的 0x19234。; 代码中页号 1 映射至帧 101，0x1234 应翻译为 0x65234，不是预期和说明中的 0x19234。
code_v24_retest_v1,Code v2.4,E1-Q-9e47a9667ca1,OS,操作系统,虚拟内存与页表,code,minor_error,yes,os_memory_semantic_error,将 TLB 缺失或无效项直接当作缺页且不进行页表查询，混淆了 TLB miss 与 page fault。; 将 TLB 缺失或无效项直接当作缺页且不进行页表查询，混淆了 TLB miss 与 page fault。
code_v25_retest_v1,Code v2.5,E1-Q-3ee4e01845ce,OS,操作系统,虚拟内存与页表,code,minor_error,yes,os_memory_semantic_error,核心TLB/页表和权限逻辑是正确的，但最后的测试注释预期TLB命中，即使FIFO替换在该访问之前驱逐VPN 1。质量下限通过，因为可运行代码正确区分了TLB未命中、页错误和保护错误。
